id,wall_type,roof_type,floor_type,flood_depth_m,flood_class,point_id,latitude,longitude,average_room_length_ft,average_room_width_ft,reference_id,village_name,village_code,asset_type,building_length_ft,building_width_ft,building_area_sqft,mapped_house_type,unit_rate_inr,replacement_cost_inr,house_type_id,eq_hazard,wind_hazard,flood_hazard,flood_hazard_mdr,eq_hazard_mdr,wind_hazard_mdr,flood_loss,eq_loss,wind_loss
179,Brick With Cement,Tin,Cement,0.61,0.5 - 1.0 m,2798,26.3223289,90.9180222,22,15,179,Rupakuchi,280_20,critical_facility,22,15,330,R6A Semi Pucca (Cement Floor),1041.0,343530.0,11,0.3425,45.0053,0.61,0.02374034,0.49265123250000004,0.00010800795,8155.5190002,169240.477900725,37.1039710635
180,Brick With Cement,Tin,Cement,1.219,>1.0 m,2826,26.3212066,90.9166699,15,30,180,Rupakuchi,280_20,critical_facility,15,30,450,R6A Semi Pucca (Cement Floor),1041.0,468450.0,11,0.3425,45.0056,1.219,0.13807219500000004,0.49265123250000004,0.0001080084,64679.91974775002,230782.46986462502,50.59653498
184,Brick With Cement,Tin,Cement,1.524,>1.0 m,2831,26.3208751,90.9165682,15,12,184,Rupakuchi,280_20,critical_facility,15,12,180,R6A Semi Pucca (Cement Floor),1041.0,187380.0,11,0.3425,45.0078,1.524,0.213450842,0.49265123250000004,0.0001080117,39996.41877396,92312.98794585,20.239232346
183,Brick With Cement,Tin,Cement,0.61,0.5 - 1.0 m,473,26.3190159,90.9205511,25,99,183,Rupakuchi,280_20,critical_facility,25,99,2475,R6A Semi Pucca (Cement Floor),1041.0,2576475.0,11,0.3424,45.0652,0.61,0.02374034,0.49249884159999996,0.0001080978,61166.3925015,1268910.95291136,278.511279255
178,Brick With Cement,Tin,Cement,0.914,0.5 - 1.0 m,1639,26.319963,90.9251574,30,13,178,Rupakuchi,280_20,critical_facility,30,13,390,R6A Semi Pucca (Cement Floor),1041.0,405990.0,11,0.3422,45.1044,0.914,0.073965874,0.4921940598,0.0001081566,30029.40518526,199825.866338202,43.910498034
181,Brick With Cement,Tin,Cement,0.914,0.5 - 1.0 m,1637,26.3199378,90.9253142,20,15,181,Rupakuchi,280_20,critical_facility,20,15,300,R6A Semi Pucca (Cement Floor),1041.0,312300.0,11,0.3422,45.106,0.914,0.073965874,0.4921940598,0.000108159,23099.5424502,153712.20487554,33.7780557
188,Brick With Cement,Tin,Cement,0.61,0.5 - 1.0 m,225,26.3123046,90.9330676,50,20,188,Rupakuchi,280_20,critical_facility,50,20,1000,R6A Semi Pucca (Cement Floor),1041.0,1041000.0,11,0.342,45.2012,0.61,0.02374034,0.49188927800000004,0.0001083018,24713.693939999997,512056.738398,112.74217379999999
185,Brick With Cement,Tin,Cement,0.61,0.5 - 1.0 m,2865,26.3114683,90.9334388,40,30,185,Rupakuchi,280_20,critical_facility,40,30,1200,R6A Semi Pucca (Cement Floor),1041.0,1249200.0,11,0.342,45.2078,0.61,0.02374034,0.49188927800000004,0.0001083117,29656.432728,614468.0860776,135.30297564
189,Brick With Cement,Tin,Cement,0.457,0.3 - 0.5 m,2201,26.3115782,90.9197188,90,20,189,Rupakuchi,280_20,critical_facility,90,20,1800,R6A Semi Pucca (Cement Floor),1041.0,1873800.0,11,0.3425,45.3035,0.457,0.006698283,0.49265123250000004,0.00010845525,12551.2426854,923129.8794585001,203.22344744999998
176,Brick With Cement,Tin,Cement,1.219,>1.0 m,1877,26.3095968,90.9247926,10,20,176,Rupakuchi,280_20,critical_facility,10,20,200,R6A Semi Pucca (Cement Floor),1041.0,208200.0,11,0.3423,45.342,1.219,0.13807219500000004,0.49234645069999994,0.000108513,28746.630999000008,102506.53103573999,22.5924066
186,Brick With Cement,Tin,Cement,0.914,0.5 - 1.0 m,1956,26.307854,90.9249886,18,15,186,Rupakuchi,280_20,critical_facility,18,15,270,R6A Semi Pucca (Cement Floor),1041.0,281070.0,11,0.3423,45.393,0.914,0.073965874,0.49234645069999994,0.0001085895,20789.58820518,138383.81689824897,30.521250764999998
195,Brick With Cement,Concrete,Cement,2.743,>1.0 m,1757565741352,26.14524122774455,91.79140649735928,10,10,195,Rupakuchi,280_20,critical_facility,10,10,100,R7 (Pucca House),2186.0,218600.0,10,0.4429,42.7536,2.743,0.40683376699999996,0.5902070423,0.0,88933.86146619999,129019.25944678,0.0
190,Brick With Cement,Concrete,Cement,0.61,0.5 - 1.0 m,565,26.3204907,90.924957,30,15,190,Rupakuchi,280_20,critical_facility,30,15,450,R7 (Pucca House),2186.0,983700.0,10,0.3422,45.0979,0.61,0.00296623,0.4573980774,0.0,2917.880451,449942.48873837997,0.0
177,Brick With Cement,Concrete,Cement,0.457,0.3 - 0.5 m,57,26.3079463,90.9252052,50,25,177,Rupakuchi,280_20,critical_facility,50,25,1250,R7 (Pucca House),2186.0,2732500.0,10,0.3423,45.3868,0.457,0.0,0.4575399241,0.0,0.0,1250227.84260325,0.0
182,Brick With Cement,Tin,Mud,0.305,0.3 - 0.5 m,1745990312678,26.311122167392007,90.91956786811352,20,25,182,Rupakuchi,280_20,critical_facility,20,25,500,R6B Semi Pucca(Mud Floor),1041.0,520500.0,9,0.3425,45.3262,0.305,0.00269697,0.529177255,0.0001084893,1403.7728849999999,275436.7612275,56.46868065
187,Tin,Tin,Mud,0.914,0.5 - 1.0 m,44,26.3076796,90.9249983,28,12,187,Rupakuchi,280_20,critical_facility,28,12,336,R5A Tin House,650.0,218400.0,7,0.3423,45.3983,0.914,0.09401636199999999,0.5256868453,0.002895932,20533.173460799997,114810.00701352,632.4715487999999
192,Tin,Grass,Mud,2.134,>1.0 m,1746093717791,26.31803622242533,90.92493765056132,25,15,192,Rupakuchi,280_20,critical_facility,25,15,375,R2A (Ikra House),690.0,258750.0,2,0.3422,45.1254,2.134,0.8432151159999999,0.637641229,0.0020195112,218181.91126499997,164989.66800375,522.5485229999999
191,Wood,Stone/Slab,Stone,1.219,>1.0 m,1746092095232,26.31781744095013,90.92492692172527,25,15,191,Rupakuchi,280_20,critical_facility,25,15,375,R2A (Ikra House),690.0,258750.0,2,0.3422,45.1286,1.219,0.18504536100000005,0.637641229,0.0020196008,47880.48715875001,164989.66800375,522.5717070000001
194,Tin,Tin,Cement,0.152,0.3 m,964,26.3252749,90.9190789,80,15,194,Rupakuchi,280_20,critical_facility,80,15,1200,R5B Tin House,650.0,780000.0,8,0.3424,45.02,0.152,0.0207936,0.5264216407999999,0.0028808,16219.008,410608.8798239999,2247.0240000000003
193,Tin,Tin,Cement,0.61,0.5 - 1.0 m,1316,26.3205023,90.9250499,40,20,193,Rupakuchi,280_20,critical_facility,40,20,800,R5B Tin House,650.0,520000.0,8,0.3422,45.0987,0.61,0.04995716,0.5260974573999999,0.0028839480000000003,25977.7232,273570.67784799996,1499.6529600000001
