id,wall_type,roof_type,floor_type,building_area_sqft,flood_class,flood_depth_m,point_id,latitude,longitude,reference_id,village_name,village_code,asset_type,building_length_ft,building_width_ft,mapped_house_type,unit_rate_inr,replacement_cost_inr,house_type_id,eq_hazard,wind_hazard,flood_hazard,flood_hazard_mdr,eq_hazard_mdr,wind_hazard_mdr,flood_loss,eq_loss,wind_loss
39245,Brick With Cement,Tin,Cement,600.0,0.5 - 1.0 m,0.914,1459,26.2761335,90.9813427,39245,Ag Mandia,280_6,household,,,R6A Semi Pucca (Cement Floor),1041.0,624600.0,11.0,0.3418,45.6484,0.914,0.073965874,0.49158449619999994,0.0001089726,46199.0849004,307043.67632652,68.06428596
38921,Brick With Cement,Tiles,Cement,600.0,>1.0 m,1.219,666,26.2743689,90.9864763,38921,Ag Mandia,280_6,household,,,R6A Semi Pucca (Cement Floor),1041.0,624600.0,11.0,0.3418,45.6917,1.219,0.13807219500000004,0.49158449619999994,0.00010903755,86239.89299700002,307043.67632652,68.10485373
39095,Brick With Cement,Tin,Cement,600.0,0.5 - 1.0 m,0.914,602,26.2735412,90.9807091,39095,Ag Mandia,280_6,household,,,R6A Semi Pucca (Cement Floor),1041.0,624600.0,11.0,0.3419,45.7407,0.914,0.073965874,0.49173688709999996,0.00010911105,46199.0849004,307138.85968265997,68.15076183
39096,Brick With Cement,Tin,Cement,600.0,0.5 - 1.0 m,0.61,600,26.2735745,90.980372,39096,Ag Mandia,280_6,household,,,R6A Semi Pucca (Cement Floor),1041.0,624600.0,11.0,0.3419,45.7446,0.61,0.02374034,0.49173688709999996,0.0001091169,14828.216364,307138.85968265997,68.15441574
39129,Brick With Cement,Tin,Cement,600.0,0.5 - 1.0 m,0.914,607,26.2731606,90.9805815,39129,Ag Mandia,280_6,household,,,R6A Semi Pucca (Cement Floor),1041.0,624600.0,11.0,0.3419,45.7505,0.914,0.073965874,0.49173688709999996,0.00010912575000000001,46199.0849004,307138.85968265997,68.15994345
39033,Brick With Cement,Tin,Cement,600.0,0.5 - 1.0 m,0.61,1553,26.2718321,90.9863112,39033,Ag Mandia,280_6,household,,,R6A Semi Pucca (Cement Floor),1041.0,624600.0,11.0,0.342,45.7558,0.61,0.02374034,0.49188927800000004,0.00010913370000000001,14828.216364,307234.0430388,68.16490902000001
39060,Brick With Cement,Tin,Cement,600.0,>1.0 m,1.067,2380,26.2718273,90.9868017,39060,Ag Mandia,280_6,household,,,R6A Semi Pucca (Cement Floor),1041.0,624600.0,11.0,0.342,45.7588,1.067,0.10460869799999997,0.49188927800000004,0.0001091382,65338.59277079998,307234.0430388,68.16771972
39034,Brick With Cement,Tin,Cement,600.0,0.5 - 1.0 m,0.914,1554,26.271696,90.9863439,39034,Ag Mandia,280_6,household,,,R6A Semi Pucca (Cement Floor),1041.0,624600.0,11.0,0.342,45.7611,0.914,0.073965874,0.49188927800000004,0.00010914165,46199.0849004,307234.0430388,68.16987458999999
39026,Brick With Cement,Tin,Cement,600.0,>1.0 m,1.067,2356,26.2716524,90.9848958,39026,Ag Mandia,280_6,household,,,R6A Semi Pucca (Cement Floor),1041.0,624600.0,11.0,0.342,45.7651,1.067,0.10460869799999997,0.49188927800000004,0.00010914765,65338.59277079998,307234.0430388,68.17362219
39128,Brick With Cement,Tin,Cement,600.0,0.5 - 1.0 m,0.914,2345,26.2714731,90.9842778,39128,Ag Mandia,280_6,household,,,R6A Semi Pucca (Cement Floor),1041.0,624600.0,11.0,0.342,45.7681,0.914,0.073965874,0.49188927800000004,0.00010915215,46199.0849004,307234.0430388,68.17643289
39048,Brick With Cement,Tin,Cement,600.0,>1.0 m,1.219,2331,26.2714453,90.9847753,39048,Ag Mandia,280_6,household,,,R6A Semi Pucca (Cement Floor),1041.0,624600.0,11.0,0.342,45.7682,1.219,0.13807219500000004,0.49188927800000004,0.00010915230000000001,86239.89299700002,307234.0430388,68.17652658
39039,Brick With Cement,Tin,Cement,600.0,0.5 - 1.0 m,0.914,1576,26.2721335,90.9886206,39039,Ag Mandia,280_6,household,,,R6A Semi Pucca (Cement Floor),1041.0,624600.0,11.0,0.3419,45.7701,0.914,0.073965874,0.49173688709999996,0.00010915515,46199.0849004,307138.85968265997,68.17830669
39127,Brick With Cement,Tin,Cement,600.0,0.5 - 1.0 m,0.914,568,26.2713393,90.983627,39127,Ag Mandia,280_6,household,,,R6A Semi Pucca (Cement Floor),1041.0,624600.0,11.0,0.342,45.7718,0.914,0.073965874,0.49188927800000004,0.00010915770000000001,46199.0849004,307234.0430388,68.17989942
39182,Brick With Cement,Tin,Cement,600.0,>1.0 m,1.219,2312,26.2712334,90.983085,39182,Ag Mandia,280_6,household,,,R6A Semi Pucca (Cement Floor),1041.0,624600.0,11.0,0.342,45.7756,1.219,0.13807219500000004,0.49188927800000004,0.0001091634,86239.89299700002,307234.0430388,68.18345964
