id,wall_type,roof_type,floor_type,flood_depth_m,point_id,latitude,longitude,average_room_length_ft,average_room_width_ft,reference_id,village_name,village_code,asset_type,building_length_ft,building_width_ft,building_area_sqft,mapped_house_type,unit_rate_inr,replacement_cost_inr,house_type_id,eq_hazard,wind_hazard,flood_hazard,flood_hazard_mdr,eq_hazard_mdr,wind_hazard_mdr,flood_loss,eq_loss,wind_loss
1269,Tin,Tin,Mud,0.914,1746343060052,26.27366141263628,90.98546270281076,10,10,1269,Ag Mandia,280_6,commercial,10,10,100,R5A Tin House,650.0,65000.0,7,0.3419,45.706,0.914,0.09401636199999999,0.5250406409,0.00290824,6111.063529999999,34127.641658500004,189.0356
1268,Tin,Tin,Mud,0.457,860,26.2751061,90.9797404,14,8,1268,Ag Mandia,280_6,commercial,14,8,112,R5A Tin House,650.0,72800.0,7,0.3418,45.7161,0.457,0.018140958999999998,0.5248790898,0.0029086439999999997,1320.6618151999999,38211.19773744,211.74928319999998
1264,Tin,Tin,Mud,1.067,2363,26.2713966,90.9850533,15,10,1264,Ag Mandia,280_6,commercial,15,10,150,R5A Tin House,650.0,97500.0,7,0.342,45.7688,1.067,0.13946902899999997,0.5252021920000001,0.002910752,13598.230327499996,51207.21372000001,283.79832
1271,Tin,Tin,Mud,1.067,1746329924978,26.26677537835053,90.9864380210638,12,10,1271,Ag Mandia,280_6,commercial,12,10,120,R5A Tin House,650.0,78000.0,7,0.3422,45.8175,1.067,0.13946902899999997,0.5255252942,0.0029127,10878.584261999997,40990.97294760001,227.1906
1263,Tin,Tin,Mud,1.219,1208,26.266544,90.9825332,14,10,1263,Ag Mandia,280_6,commercial,14,10,140,R5A Tin House,650.0,91000.0,7,0.3423,45.8211,1.219,0.19441356300000004,0.5256868453,0.002912844,17691.634233000004,47837.5029223,265.068804
1259,Tin,Tin,Mud,0.914,1746157889861,26.26662955981312,90.9824039787054,18,12,1259,Ag Mandia,280_6,commercial,18,12,216,R5A Tin House,650.0,140400.0,7,0.3423,45.8216,0.914,0.09401636199999999,0.5256868453,0.002912864,13199.8972248,73806.43308012,408.9661056
1266,Tin,Tin,Wood/Bamboo,1.829,1207,26.2663107,90.9823644,10,5,1266,Ag Mandia,280_6,commercial,10,5,50,R5A Tin House,650.0,32500.0,7,0.3423,45.8233,1.829,0.5091155739999998,0.5256868453,0.002912932,16546.256154999995,17084.822472249998,94.67029
1265,Tin,Tin,Mud,0.762,1386,26.2721491,90.977133,15,10,1265,Ag Mandia,280_6,commercial,15,10,150,R5A Tin House,650.0,97500.0,7,0.342,45.8399,0.762,0.056487046,0.5252021920000001,0.002913596,5507.486985,51207.21372000001,284.07561
1256,Tin,Tin,Mud,0.61,1687,26.2722319,90.9920802,10,8,1256,Ag Mandia,280_6,commercial,10,8,80,R5A Tin House,650.0,52000.0,7,0.342,45.841,0.61,0.0358199,0.5252021920000001,0.00291364,1862.6348,27310.513984000005,151.50928
1251,Tin,Tin,Mud,0.914,1014,26.2656952,90.9745029,14,7,1251,Ag Mandia,280_6,commercial,14,7,98,R5A Tin House,650.0,63700.0,7,0.3424,45.9493,0.914,0.09401636199999999,0.5258483963999999,0.002917972,5988.842259399999,33496.542850679994,185.87481640000001
1262,Tin,Tin,Mud,0.61,993,26.2659116,90.9744911,13,10,1262,Ag Mandia,280_6,commercial,13,10,130,R5A Tin House,650.0,84500.0,7,0.3424,45.9512,0.61,0.0358199,0.5258483963999999,0.002918048,3026.78155,44434.18949579999,246.575056
1267,Tin,Tin,Mud,1.829,1297,26.2654943,90.9735697,15,7,1267,Ag Mandia,280_6,commercial,15,7,105,R5A Tin House,650.0,68250.0,7,0.3424,45.9595,1.829,0.5091155739999998,0.5258483963999999,0.00291838,34747.13792549999,35889.1530543,199.17943499999998
