id,wall_type,roof_type,floor_type,flood_depth_m,flood_class,point_id,latitude,longitude,average_room_length_ft,average_room_width_ft,reference_id,village_name,village_code,asset_type,building_length_ft,building_width_ft,building_area_sqft,mapped_house_type,unit_rate_inr,replacement_cost_inr,house_type_id,eq_hazard,wind_hazard,flood_hazard,flood_hazard_mdr,eq_hazard_mdr,wind_hazard_mdr,flood_loss,eq_loss,wind_loss
196,Tin,Tin,Cement,0.61,0.5 - 1.0 m,254,26.2695769,90.9774457,30,12,196,Ag Mandia,280_6,critical_facility,30,12,360,R5B Tin House,650.0,234000.0,8,0.3421,45.8719,0.61,0.04995716,0.5259353657,0.002914876,11689.97544,123068.8755738,682.080984
200,Brick With Cement,Tin,Cement,1.067,>1.0 m,452,26.2672365,90.9863697,15,10,200,Ag Mandia,280_6,critical_facility,15,10,150,R6A Semi Pucca (Cement Floor),1041.0,156150.0,11,0.3422,45.8145,1.067,0.10460869799999997,0.4921940598,0.00010922175,16334.648192699995,76856.10243777,17.0549762625
204,Brick With Cement,Tin,Cement,1.067,>1.0 m,1746329419150,26.26770079564426,90.98686449229716,18,14,204,Ag Mandia,280_6,critical_facility,18,14,252,R6A Semi Pucca (Cement Floor),1041.0,262332.0,11,0.3422,45.8154,1.067,0.10460869799999997,0.4921940598,0.0001092231,27442.208963735993,129118.25209545359,28.6527142692
206,Brick With Cement,Tin,Cement,1.067,>1.0 m,455,26.2674864,90.9868887,20,14,206,Ag Mandia,280_6,critical_facility,20,14,280,R6A Semi Pucca (Cement Floor),1041.0,291480.0,11,0.3422,45.8168,1.067,0.10460869799999997,0.4921940598,0.0001092252,30491.34329303999,143464.724550504,31.836961296
205,Brick With Cement,Tin,Cement,1.067,>1.0 m,456,26.267552,90.987001,24,16,205,Ag Mandia,280_6,critical_facility,24,16,384,R6A Semi Pucca (Cement Floor),1041.0,399744.0,11,0.3422,45.8175,1.067,0.10460869799999997,0.4921940598,0.00010922625,41816.69937331199,196751.62224069118,43.662538080000004
202,Brick With Cement,Tin,Cement,1.067,>1.0 m,457,26.2670995,90.9870028,10,10,202,Ag Mandia,280_6,critical_facility,10,10,100,R6A Semi Pucca (Cement Floor),1041.0,104100.0,11,0.3422,45.8199,1.067,0.10460869799999997,0.4921940598,0.00010922985,10889.765461799998,51237.40162518,11.370827385
197,Brick With Cement,Tin,Cement,1.219,>1.0 m,1746171524873,26.27264885689385,90.97738288342951,25,20,197,Ag Mandia,280_6,critical_facility,25,20,500,R6A Semi Pucca (Cement Floor),1041.0,520500.0,11,0.342,45.8226,1.219,0.13807219500000004,0.49188927800000004,0.00010923390000000001,71866.57749750002,256028.369199,56.856244950000004
198,Brick With Cement,Tin,Cement,0.61,0.5 - 1.0 m,994,26.265896,90.9746555,30,18,198,Ag Mandia,280_6,critical_facility,30,18,540,R6A Semi Pucca (Cement Floor),1041.0,562140.0,11,0.3424,45.9487,0.61,0.02374034,0.49249884159999996,0.00010942305,13345.3947276,276853.298817024,61.511073327
199,Brick With Cement,Concrete,Cement,0.457,0.3 - 0.5 m,645,26.2739027,90.9851603,40,30,199,Ag Mandia,280_6,critical_facility,40,30,1200,R7 (Pucca House),2186.0,2623200.0,10,0.3419,45.6914,0.457,0.0,0.4569725373,0.0,0.0,1198730.35984536,0.0
201,Brick With Cement,Concrete,Cement,0.61,0.5 - 1.0 m,351,26.2699675,90.9828734,30,20,201,Ag Mandia,280_6,critical_facility,30,20,600,R7 (Pucca House),2186.0,1311600.0,10,0.3421,45.7923,0.61,0.00296623,0.45725623070000004,0.0,3890.507268,599737.27218612,0.0
203,Brick With Cement,Concrete,Cement,1.067,>1.0 m,1746329686777,26.267406755471345,90.98668478429316,12,10,203,Ag Mandia,280_6,critical_facility,12,10,120,R7 (Pucca House),2186.0,262320.0,10,0.3422,45.8154,1.067,0.046700538999999985,0.4573980774,0.0,12250.485390479997,119984.663663568,0.0
