id,wall_type,roof_type,floor_type,flood_depth_m,point_id,latitude,longitude,average_room_length_ft,average_room_width_ft,reference_id,village_name,village_code,asset_type,building_length_ft,building_width_ft,building_area_sqft,mapped_house_type,unit_rate_inr,replacement_cost_inr,house_type_id,eq_hazard,wind_hazard,flood_hazard,flood_hazard_mdr,eq_hazard_mdr,wind_hazard_mdr,flood_loss,eq_loss,wind_loss
1304,Tin,Tin,Wood/Bamboo,0.762,1746098002924,26.29539646059241,91.00136149674654,8,10,1304,Bhatkuchi,280_13,commercial,8,10,80,R5A Tin House,650.0,52000.0,7,0.341,45.0275,0.762,0.06,0.522,0.0,3120.0,27144.0,0.0
1306,Tin,Tin,Mud,0.152,3490,26.2970222,91.0017656,10,15,1306,Bhatkuchi,280_13,commercial,10,15,150,R5A Tin House,650.0,97500.0,7,0.3409,45.0308,0.152,0.0,0.5217999999999999,0.0,0.0,50875.49999999999,0.0
1329,Tin,Tin,Mud,0.61,3442,26.298902,91.0033293,12,12,1329,Bhatkuchi,280_13,commercial,12,12,144,R5A Tin House,650.0,93600.0,7,0.3408,45.0468,0.61,0.04,0.5216,0.0,3744.0,48821.759999999995,0.0
1293,Tin,Tin,Wood/Bamboo,1.067,1745918626342,26.29526149900153,91.0033993050456,10,10,1293,Bhatkuchi,280_13,commercial,10,10,100,R5A Tin House,650.0,65000.0,7,0.341,45.0553,1.067,0.14,0.522,0.0,9100.0,33930.0,0.0
1319,Tin,Tin,Wood/Bamboo,0.762,3891,26.2991732,91.0061417,12,10,1319,Bhatkuchi,280_13,commercial,12,10,120,R5A Tin House,650.0,78000.0,7,0.3408,45.0648,0.762,0.06,0.5216,0.0,4680.0,40684.799999999996,0.0
1289,Tin,Tin,Mud,0.914,1444,26.2920122,91.0017726,16,9,1289,Bhatkuchi,280_13,commercial,16,9,144,R5A Tin House,650.0,93600.0,7,0.3411,45.0649,0.914,0.094,0.5222,0.0,8798.4,48877.92,0.0
1287,Tin,Tin,Mud,0.914,1446,26.2918151,91.0017974,10,14,1287,Bhatkuchi,280_13,commercial,10,14,140,R5A Tin House,650.0,91000.0,7,0.3411,45.0699,0.914,0.094,0.5222,0.0,8554.0,47520.2,0.0
1290,Tin,Tin,Mud,0.914,1745818206599,26.29168120220597,91.00176952779292,14,12,1290,Bhatkuchi,280_13,commercial,14,12,168,R5A Tin House,650.0,109200.0,7,0.3411,45.0732,0.914,0.094,0.5222,0.0,10264.8,57024.24,0.0
1291,Tin,Tin,Mud,0.914,1420,26.2916309,91.0017909,26,13,1291,Bhatkuchi,280_13,commercial,26,13,338,R5A Tin House,650.0,219700.0,7,0.3412,45.0747,0.914,0.094,0.5224,0.0,20651.8,114771.28,0.0
1284,Tin,Tin,Mud,1.067,1421,26.2915842,91.0018223,13,10,1284,Bhatkuchi,280_13,commercial,13,10,130,R5A Tin House,650.0,84500.0,7,0.3412,45.0762,1.067,0.14,0.5224,0.0,11830.000000000002,44142.799999999996,0.0
