id,wall_type,roof_type,floor_type,building_area_sqft,flood_class,flood_depth_m,point_id,latitude,longitude,reference_id,village_name,village_code,asset_type,building_length_ft,building_width_ft,mapped_house_type,unit_rate_inr,replacement_cost_inr,house_type_id,eq_hazard,wind_hazard,flood_hazard,flood_hazard_mdr,eq_hazard_mdr,wind_hazard_mdr,flood_loss,eq_loss,wind_loss
42414,Tin,Tin,Mud,600.0,0.3 - 0.5 m,0.305,1746162005875,26.312507956680754,90.91751664876938,42414,Rupakuchi,280_20,household,,,R5A Tin House,650.0,390000.0,7.0,0.3425,45.2754,0.305,0.005,0.525,0.0,1950.0,204750.0,0.0
42110,Tin,Tin,Mud,600.0,0.5 - 1.0 m,0.61,219,26.3120738,90.920905,42110,Rupakuchi,280_20,household,,,R5A Tin House,650.0,390000.0,7.0,0.3424,45.2754,0.61,0.04,0.5247999999999999,0.0,15600.0,204671.99999999997,0.0
42088,Tin,Tin,Mud,600.0,0.5 - 1.0 m,0.61,1822,26.3109686,90.9276555,42088,Rupakuchi,280_20,household,,,R5A Tin House,650.0,390000.0,7.0,0.3422,45.2795,0.61,0.04,0.5244,0.0,15600.0,204516.0,0.0
42065,Tin,Tin,Mud,600.0,0.5 - 1.0 m,0.61,1822,26.3109686,90.9276555,42065,Rupakuchi,280_20,household,,,R5A Tin House,650.0,390000.0,7.0,0.3422,45.2795,0.61,0.04,0.5244,0.0,15600.0,204516.0,0.0
42113,Tin,Tin,Mud,600.0,0.5 - 1.0 m,0.61,216,26.3118988,90.9208851,42113,Rupakuchi,280_20,household,,,R5A Tin House,650.0,390000.0,7.0,0.3424,45.2819,0.61,0.04,0.5247999999999999,0.0,15600.0,204671.99999999997,0.0
42239,Tin,Tin,Mud,600.0,0.3 - 0.5 m,0.305,201,26.3118352,90.9207049,42239,Rupakuchi,280_20,household,,,R5A Tin House,650.0,390000.0,7.0,0.3424,45.2843,0.305,0.005,0.5247999999999999,0.0,1950.0,204671.99999999997,0.0
42272,Tin,Tin,Mud,600.0,0.5 - 1.0 m,0.61,1745981112768,26.312283755069952,90.91802693903446,42272,Rupakuchi,280_20,household,,,R5A Tin House,650.0,390000.0,7.0,0.3425,45.2849,0.61,0.04,0.525,0.0,15600.0,204750.0,0.0
42066,Tin,Tin,Mud,600.0,0.3 - 0.5 m,0.457,1825,26.3104641,90.9279107,42066,Rupakuchi,280_20,household,,,R5A Tin House,650.0,390000.0,7.0,0.3422,45.2877,0.457,0.02,0.5244,0.0,7800.0,204516.0,0.0
41985,Tin,Tin,Mud,600.0,0.5 - 1.0 m,0.61,1828,26.3103014,90.9280239,41985,Rupakuchi,280_20,household,,,R5A Tin House,650.0,390000.0,7.0,0.3422,45.2899,0.61,0.04,0.5244,0.0,15600.0,204516.0,0.0
42033,Tin,Tin,Mud,600.0,0.5 - 1.0 m,0.762,116,26.3110074,90.9263286,42033,Rupakuchi,280_20,household,,,R5A Tin House,650.0,390000.0,7.0,0.3422,45.29,0.762,0.06,0.5244,0.0,23400.0,204516.0,0.0
41984,Tin,Tin,Mud,600.0,0.5 - 1.0 m,0.61,1827,26.3103203,90.9279265,41984,Rupakuchi,280_20,household,,,R5A Tin House,650.0,390000.0,7.0,0.3422,45.2906,0.61,0.04,0.5244,0.0,15600.0,204516.0,0.0
42340,Tin,Tin,Mud,600.0,0.5 - 1.0 m,0.61,2231,26.3121659,90.9169867,42340,Rupakuchi,280_20,household,,,R5A Tin House,650.0,390000.0,7.0,0.3426,45.2917,0.61,0.04,0.5252,0.0,15600.0,204828.0,0.0
42263,Tin,Tin,Mud,600.0,0.3 - 0.5 m,0.305,220,26.3120727,90.9184874,42263,Rupakuchi,280_20,household,,,R5A Tin House,650.0,390000.0,7.0,0.3425,45.2927,0.305,0.005,0.525,0.0,1950.0,204750.0,0.0
42265,Tin,Tin,Mud,600.0,0.5 - 1.0 m,0.61,221,26.3120621,90.9183607,42265,Rupakuchi,280_20,household,,,R5A Tin House,650.0,390000.0,7.0,0.3425,45.294,0.61,0.04,0.525,0.0,15600.0,204750.0,0.0
42339,Tin,Tin,Mud,600.0,0.5 - 1.0 m,0.61,2220,26.3120932,90.9174102,42339,Rupakuchi,280_20,household,,,R5A Tin House,650.0,390000.0,7.0,0.3425,45.294,0.61,0.04,0.525,0.0,15600.0,204750.0,0.0
41983,Tin,Tin,Mud,600.0,0.5 - 1.0 m,0.61,1831,26.3101674,90.9278996,41983,Rupakuchi,280_20,household,,,R5A Tin House,650.0,390000.0,7.0,0.3422,45.2942,0.61,0.04,0.5244,0.0,15600.0,204516.0,0.0
42266,Tin,Tin,Mud,600.0,0.3 - 0.5 m,0.305,215,26.3120232,90.9182574,42266,Rupakuchi,280_20,household,,,R5A Tin House,650.0,390000.0,7.0,0.3425,45.2961,0.305,0.005,0.525,0.0,1950.0,204750.0,0.0
41986,Tin,Tin,Mud,600.0,0.3 - 0.5 m,0.457,1835,26.3103663,90.9272326,41986,Rupakuchi,280_20,household,,,R5A Tin House,650.0,390000.0,7.0,0.3422,45.297,0.457,0.02,0.5244,0.0,7800.0,204516.0,0.0
41962,Tin,Tin,Mud,600.0,>1.0 m,1.219,3036,26.3106743,90.9263684,41962,Rupakuchi,280_20,household,,,R5A Tin House,650.0,390000.0,7.0,0.3422,45.2979,1.219,0.19,0.5244,0.0,74100.0,204516.0,0.0
42108,Tin,Tin,Mud,600.0,0.5 - 1.0 m,0.914,2180,26.3114461,90.9203608,42108,Rupakuchi,280_20,household,,,R5A Tin House,650.0,390000.0,7.0,0.3424,45.2999,0.914,0.094,0.5247999999999999,0.0,36660.0,204671.99999999997,0.0
42267,Tin,Tin,Mud,600.0,0.5 - 1.0 m,0.61,2215,26.3119287,90.9180308,42267,Rupakuchi,280_20,household,,,R5A Tin House,650.0,390000.0,7.0,0.3425,45.3006,0.61,0.04,0.525,0.0,15600.0,204750.0,0.0
42213,Tin,Tin,Mud,600.0,0.3 - 0.5 m,0.457,161,26.3113426,90.9214487,42213,Rupakuchi,280_20,household,,,R5A Tin House,650.0,390000.0,7.0,0.3424,45.3023,0.457,0.02,0.5247999999999999,0.0,7800.0,204671.99999999997,0.0
42240,Tin,Tin,Mud,600.0,0.5 - 1.0 m,0.61,159,26.3113468,90.921157,42240,Rupakuchi,280_20,household,,,R5A Tin House,650.0,390000.0,7.0,0.3424,45.3027,0.61,0.04,0.5247999999999999,0.0,15600.0,204671.99999999997,0.0
42343,Tin,Tin,Mud,600.0,0.3 - 0.5 m,0.457,2196,26.3113818,90.9200026,42343,Rupakuchi,280_20,household,,,R5A Tin House,650.0,390000.0,7.0,0.3425,45.3052,0.457,0.02,0.525,0.0,7800.0,204750.0,0.0
42125,Tin,Tin,Mud,600.0,0.3 - 0.5 m,0.457,2177,26.3112479,90.9206355,42125,Rupakuchi,280_20,household,,,R5A Tin House,650.0,390000.0,7.0,0.3424,45.3074,0.457,0.02,0.5247999999999999,0.0,7800.0,204671.99999999997,0.0
42031,Tin,Tin,Mud,600.0,0.3 - 0.5 m,0.305,92,26.3104698,90.925657,42031,Rupakuchi,280_20,household,,,R5A Tin House,650.0,390000.0,7.0,0.3423,45.3092,0.305,0.005,0.5246,0.0,1950.0,204593.99999999997,0.0
42097,Tin,Tin,Mud,600.0,0.5 - 1.0 m,0.914,82,26.3098598,90.9271688,42097,Rupakuchi,280_20,household,,,R5A Tin House,650.0,390000.0,7.0,0.3422,45.3094,0.914,0.094,0.5244,0.0,36660.0,204516.0,0.0
42133,Tin,Tin,Mud,600.0,0.5 - 1.0 m,0.61,2178,26.311167,90.9207292,42133,Rupakuchi,280_20,household,,,R5A Tin House,650.0,390000.0,7.0,0.3424,45.3104,0.61,0.04,0.5247999999999999,0.0,15600.0,204671.99999999997,0.0
42287,Tin,Tin,Mud,600.0,0.3 - 0.5 m,0.457,2785,26.3117659,90.9163457,42287,Rupakuchi,280_20,household,,,R5A Tin House,650.0,390000.0,7.0,0.3426,45.3114,0.457,0.02,0.5252,0.0,7800.0,204828.0,0.0
42285,Tin,Tin,Mud,600.0,0.3 - 0.5 m,0.457,2784,26.3117638,90.9163067,42285,Rupakuchi,280_20,household,,,R5A Tin House,650.0,390000.0,7.0,0.3426,45.3117,0.457,0.02,0.5252,0.0,7800.0,204828.0,0.0
42328,Tin,Tin,Mud,600.0,0.3 m,0.152,3107,26.3117485,90.9162879,42328,Rupakuchi,280_20,household,,,R5A Tin House,650.0,390000.0,7.0,0.3426,45.3125,0.152,0.0,0.5252,0.0,0.0,204828.0,0.0
42337,Tin,Tin,Mud,600.0,0.3 - 0.5 m,0.457,2783,26.3117289,90.9165651,42337,Rupakuchi,280_20,household,,,R5A Tin House,650.0,390000.0,7.0,0.3426,45.3125,0.457,0.02,0.5252,0.0,7800.0,204828.0,0.0
42327,Tin,Tin,Mud,600.0,0.3 - 0.5 m,0.305,3104,26.3117192,90.9161185,42327,Rupakuchi,280_20,household,,,R5A Tin House,650.0,390000.0,7.0,0.3426,45.3144,0.305,0.005,0.5252,0.0,1950.0,204828.0,0.0
42242,Tin,Tin,Mud,600.0,0.5 - 1.0 m,0.61,3008,26.310992,90.921798,42242,Rupakuchi,280_20,household,,,R5A Tin House,650.0,390000.0,7.0,0.3424,45.3145,0.61,0.04,0.5247999999999999,0.0,15600.0,204671.99999999997,0.0
42335,Tin,Tin,Mud,600.0,0.3 - 0.5 m,0.305,2776,26.3116786,90.916688,42335,Rupakuchi,280_20,household,,,R5A Tin House,650.0,390000.0,7.0,0.3426,45.3145,0.305,0.005,0.5252,0.0,1950.0,204828.0,0.0
42243,Tin,Tin,Mud,600.0,0.5 - 1.0 m,0.914,2170,26.310985,90.9218088,42243,Rupakuchi,280_20,household,,,R5A Tin House,650.0,390000.0,7.0,0.3424,45.3147,0.914,0.094,0.5247999999999999,0.0,36660.0,204671.99999999997,0.0
42275,Tin,Tin,Mud,600.0,0.5 - 1.0 m,0.61,2789,26.3117086,90.9161195,42275,Rupakuchi,280_20,household,,,R5A Tin House,650.0,390000.0,7.0,0.3426,45.3149,0.61,0.04,0.5252,0.0,15600.0,204828.0,0.0
42279,Tin,Tin,Mud,600.0,0.3 - 0.5 m,0.305,2788,26.3117086,90.9161195,42279,Rupakuchi,280_20,household,,,R5A Tin House,650.0,390000.0,7.0,0.3426,45.3149,0.305,0.005,0.5252,0.0,1950.0,204828.0,0.0
42104,Tin,Tin,Mud,600.0,0.5 - 1.0 m,0.762,2171,26.3109612,90.9217324,42104,Rupakuchi,280_20,household,,,R5A Tin House,650.0,390000.0,7.0,0.3424,45.3158,0.762,0.06,0.5247999999999999,0.0,23400.0,204671.99999999997,0.0
42332,Tin,Tin,Mud,600.0,0.3 - 0.5 m,0.457,3106,26.3116459,90.916353,42332,Rupakuchi,280_20,household,,,R5A Tin House,650.0,390000.0,7.0,0.3426,45.317,0.457,0.02,0.5252,0.0,7800.0,204828.0,0.0
42281,Tin,Tin,Mud,600.0,0.5 - 1.0 m,0.61,2786,26.3116371,90.9163478,42281,Rupakuchi,280_20,household,,,R5A Tin House,650.0,390000.0,7.0,0.3426,45.3174,0.61,0.04,0.5252,0.0,15600.0,204828.0,0.0
42098,Tin,Tin,Mud,600.0,0.5 - 1.0 m,0.61,77,26.3096809,90.9267462,42098,Rupakuchi,280_20,household,,,R5A Tin House,650.0,390000.0,7.0,0.3422,45.3185,0.61,0.04,0.5244,0.0,15600.0,204516.0,0.0
42289,Tin,Tin,Mud,600.0,0.3 - 0.5 m,0.305,2778,26.311579,90.9168363,42289,Rupakuchi,280_20,household,,,R5A Tin House,650.0,390000.0,7.0,0.3426,45.3187,0.305,0.005,0.5252,0.0,1950.0,204828.0,0.0
42117,Tin,Tin,Mud,600.0,0.5 - 1.0 m,0.914,2161,26.3107692,90.9225166,42117,Rupakuchi,280_20,household,,,R5A Tin House,650.0,390000.0,7.0,0.3424,45.3199,0.914,0.094,0.5247999999999999,0.0,36660.0,204671.99999999997,0.0
42145,Tin,Tin,Mud,600.0,0.5 - 1.0 m,0.914,2159,26.3107375,90.9227345,42145,Rupakuchi,280_20,household,,,R5A Tin House,650.0,390000.0,7.0,0.3424,45.3201,0.914,0.094,0.5247999999999999,0.0,36660.0,204671.99999999997,0.0
42149,Tin,Tin,Mud,600.0,>1.0 m,1.219,2155,26.3106872,90.9227371,42149,Rupakuchi,280_20,household,,,R5A Tin House,650.0,390000.0,7.0,0.3424,45.3219,1.219,0.19,0.5247999999999999,0.0,74100.0,204671.99999999997,0.0
42087,Tin,Tin,Mud,600.0,0.5 - 1.0 m,0.914,81,26.3097766,90.9261531,42087,Rupakuchi,280_20,household,,,R5A Tin House,650.0,390000.0,7.0,0.3423,45.3227,0.914,0.094,0.5246,0.0,36660.0,204593.99999999997,0.0
42152,Tin,Tin,Mud,600.0,0.5 - 1.0 m,0.914,2158,26.3106397,90.9227823,42152,Rupakuchi,280_20,household,,,R5A Tin House,650.0,390000.0,7.0,0.3424,45.3233,0.914,0.094,0.5247999999999999,0.0,36660.0,204671.99999999997,0.0
42047,Tin,Tin,Mud,600.0,0.5 - 1.0 m,0.762,1745824177677,26.30949682671752,90.92669650912283,42047,Rupakuchi,280_20,household,,,R5A Tin House,650.0,390000.0,7.0,0.3423,45.3237,0.762,0.06,0.5246,0.0,23400.0,204593.99999999997,0.0
42048,Tin,Tin,Mud,600.0,0.5 - 1.0 m,0.762,75,26.3095036,90.926649,42048,Rupakuchi,280_20,household,,,R5A Tin House,650.0,390000.0,7.0,0.3423,45.3241,0.762,0.06,0.5246,0.0,23400.0,204593.99999999997,0.0
42260,Tin,Tin,Mud,600.0,0.5 - 1.0 m,0.61,2237,26.3113773,90.9184573,42260,Rupakuchi,280_20,household,,,R5A Tin House,650.0,390000.0,7.0,0.3425,45.3246,0.61,0.04,0.525,0.0,15600.0,204750.0,0.0
42043,Tin,Tin,Mud,600.0,>1.0 m,1.219,80,26.3097547,90.9260088,42043,Rupakuchi,280_20,household,,,R5A Tin House,650.0,390000.0,7.0,0.3423,45.3248,1.219,0.19,0.5246,0.0,74100.0,204593.99999999997,0.0
42153,Tin,Tin,Mud,600.0,0.5 - 1.0 m,0.914,2156,26.3105922,90.9227149,42153,Rupakuchi,280_20,household,,,R5A Tin House,650.0,390000.0,7.0,0.3424,45.3253,0.914,0.094,0.5247999999999999,0.0,36660.0,204671.99999999997,0.0
42137,Tin,Tin,Mud,600.0,0.5 - 1.0 m,0.914,2262,26.3107045,90.9209144,42137,Rupakuchi,280_20,household,,,R5A Tin House,650.0,390000.0,7.0,0.3424,45.3287,0.914,0.094,0.5247999999999999,0.0,36660.0,204671.99999999997,0.0
42322,Tin,Tin,Mud,600.0,0.3 - 0.5 m,0.305,2234,26.3112828,90.9175501,42322,Rupakuchi,280_20,household,,,R5A Tin House,650.0,390000.0,7.0,0.3426,45.3306,0.305,0.005,0.5252,0.0,1950.0,204828.0,0.0
42134,Tin,Tin,Mud,600.0,0.5 - 1.0 m,0.61,3099,26.3106445,90.9208263,42134,Rupakuchi,280_20,household,,,R5A Tin House,650.0,390000.0,7.0,0.3424,45.332,0.61,0.04,0.5247999999999999,0.0,15600.0,204671.99999999997,0.0
42111,Tin,Tin,Mud,600.0,0.5 - 1.0 m,0.61,2265,26.3107036,90.9203923,42111,Rupakuchi,280_20,household,,,R5A Tin House,650.0,390000.0,7.0,0.3425,45.3327,0.61,0.04,0.525,0.0,15600.0,204750.0,0.0
42099,Tin,Tin,Mud,600.0,0.5 - 1.0 m,0.61,73,26.3093989,90.9261227,42099,Rupakuchi,280_20,household,,,R5A Tin House,650.0,390000.0,7.0,0.3423,45.333,0.61,0.04,0.5246,0.0,15600.0,204593.99999999997,0.0
42112,Tin,Tin,Mud,600.0,0.5 - 1.0 m,0.61,2254,26.3105298,90.9214684,42112,Rupakuchi,280_20,household,,,R5A Tin House,650.0,390000.0,7.0,0.3424,45.3331,0.61,0.04,0.5247999999999999,0.0,15600.0,204671.99999999997,0.0
42115,Tin,Tin,Mud,600.0,0.5 - 1.0 m,0.61,2249,26.310509,90.9216764,42115,Rupakuchi,280_20,household,,,R5A Tin House,650.0,390000.0,7.0,0.3424,45.3331,0.61,0.04,0.5247999999999999,0.0,15600.0,204671.99999999997,0.0
42303,Tin,Tin,Mud,600.0,0.5 - 1.0 m,0.914,145,26.3111812,90.9180803,42303,Rupakuchi,280_20,household,,,R5A Tin House,650.0,390000.0,7.0,0.3425,45.3342,0.914,0.094,0.525,0.0,36660.0,204750.0,0.0
42309,Tin,Tin,Mud,600.0,0.5 - 1.0 m,0.61,145,26.3111812,90.9180803,42309,Rupakuchi,280_20,household,,,R5A Tin House,650.0,390000.0,7.0,0.3425,45.3342,0.61,0.04,0.525,0.0,15600.0,204750.0,0.0
42141,Tin,Tin,Mud,600.0,0.5 - 1.0 m,0.61,3111,26.3104802,90.92166,42141,Rupakuchi,280_20,household,,,R5A Tin House,650.0,390000.0,7.0,0.3424,45.3343,0.61,0.04,0.5247999999999999,0.0,15600.0,204671.99999999997,0.0
42138,Tin,Tin,Mud,600.0,0.5 - 1.0 m,0.61,2260,26.3105141,90.9213383,42138,Rupakuchi,280_20,household,,,R5A Tin House,650.0,390000.0,7.0,0.3424,45.3343,0.61,0.04,0.5247999999999999,0.0,15600.0,204671.99999999997,0.0
42304,Tin,Tin,Mud,600.0,0.5 - 1.0 m,0.61,142,26.3111677,90.9179789,42304,Rupakuchi,280_20,household,,,R5A Tin House,650.0,390000.0,7.0,0.3425,45.335,0.61,0.04,0.525,0.0,15600.0,204750.0,0.0
42143,Tin,Tin,Mud,600.0,0.5 - 1.0 m,0.61,3091,26.310404,90.9219157,42143,Rupakuchi,280_20,household,,,R5A Tin House,650.0,390000.0,7.0,0.3424,45.3361,0.61,0.04,0.5247999999999999,0.0,15600.0,204671.99999999997,0.0
42292,Tin,Tin,Mud,600.0,0.3 - 0.5 m,0.305,2758,26.31119,90.9170547,42292,Rupakuchi,280_20,household,,,R5A Tin House,650.0,390000.0,7.0,0.3426,45.3362,0.305,0.005,0.5252,0.0,1950.0,204828.0,0.0
42301,Tin,Tin,Mud,600.0,0.5 - 1.0 m,0.61,140,26.3111299,90.9179188,42301,Rupakuchi,280_20,household,,,R5A Tin House,650.0,390000.0,7.0,0.3425,45.3368,0.61,0.04,0.525,0.0,15600.0,204750.0,0.0
42114,Tin,Tin,Mud,600.0,0.5 - 1.0 m,0.61,2251,26.3104069,90.9216173,42114,Rupakuchi,280_20,household,,,R5A Tin House,650.0,390000.0,7.0,0.3424,45.3373,0.61,0.04,0.5247999999999999,0.0,15600.0,204671.99999999997,0.0
42083,Tin,Tin,Mud,600.0,0.5 - 1.0 m,0.914,3024,26.3100583,90.9236143,42083,Rupakuchi,280_20,household,,,R5A Tin House,650.0,390000.0,7.0,0.3424,45.3377,0.914,0.094,0.5247999999999999,0.0,36660.0,204671.99999999997,0.0
42316,Tin,Tin,Mud,600.0,0.3 - 0.5 m,0.457,134,26.3111187,90.9177325,42316,Rupakuchi,280_20,household,,,R5A Tin House,650.0,390000.0,7.0,0.3425,45.3378,0.457,0.02,0.525,0.0,7800.0,204750.0,0.0
42321,Tin,Tin,Mud,600.0,0.5 - 1.0 m,0.61,2268,26.3109701,90.9193017,42321,Rupakuchi,280_20,household,,,R5A Tin House,650.0,390000.0,7.0,0.3425,45.3391,0.61,0.04,0.525,0.0,15600.0,204750.0,0.0
42338,Tin,Tin,Mud,600.0,0.3 m,0.152,2764,26.3111176,90.9169472,42338,Rupakuchi,280_20,household,,,R5A Tin House,650.0,390000.0,7.0,0.3426,45.3398,0.152,0.0,0.5252,0.0,0.0,204828.0,0.0
42299,Tin,Tin,Mud,600.0,0.3 - 0.5 m,0.457,127,26.3110579,90.917974,42299,Rupakuchi,280_20,household,,,R5A Tin House,650.0,390000.0,7.0,0.3425,45.34,0.457,0.02,0.525,0.0,7800.0,204750.0,0.0
42247,Tin,Tin,Mud,600.0,0.5 - 1.0 m,0.914,89,26.3102027,90.9223913,42247,Rupakuchi,280_20,household,,,R5A Tin House,650.0,390000.0,7.0,0.3424,45.3409,0.914,0.094,0.5247999999999999,0.0,36660.0,204671.99999999997,0.0
42118,Tin,Tin,Mud,600.0,0.5 - 1.0 m,0.61,3114,26.3100643,90.9230102,42118,Rupakuchi,280_20,household,,,R5A Tin House,650.0,390000.0,7.0,0.3424,45.3418,0.61,0.04,0.5247999999999999,0.0,15600.0,204671.99999999997,0.0
42334,Tin,Tin,Mud,600.0,0.3 m,0.152,119,26.3109559,90.9188022,42334,Rupakuchi,280_20,household,,,R5A Tin House,650.0,390000.0,7.0,0.3425,45.3428,0.152,0.0,0.525,0.0,0.0,204750.0,0.0
42062,Tin,Tin,Mud,600.0,0.5 - 1.0 m,0.914,1946,26.3086579,90.9267483,42062,Rupakuchi,280_20,household,,,R5A Tin House,650.0,390000.0,7.0,0.3423,45.344,0.914,0.094,0.5246,0.0,36660.0,204593.99999999997,0.0
41963,Tin,Tin,Mud,600.0,0.5 - 1.0 m,0.61,1944,26.3087283,90.9266116,41963,Rupakuchi,280_20,household,,,R5A Tin House,650.0,390000.0,7.0,0.3423,45.3442,0.61,0.04,0.5246,0.0,15600.0,204593.99999999997,0.0
