id,wall_type,roof_type,floor_type,flood_depth_m,point_id,latitude,longitude,average_room_length_ft,average_room_width_ft,reference_id,village_name,village_code,asset_type,building_length_ft,building_width_ft,building_area_sqft,mapped_house_type,unit_rate_inr,replacement_cost_inr,house_type_id,eq_hazard,wind_hazard,flood_hazard,flood_hazard_mdr,eq_hazard_mdr,wind_hazard_mdr,flood_loss,eq_loss,wind_loss
1229,Tin,Tin,Cement,1.219,1918,26.3081808,90.9254405,13,18,1229,Rupakuchi,280_20,commercial,13,18,234,R5B Tin House,650.0,152100.0,8.0,0.3423,45.3762,1.219,0.14827376800000003,0.5262595491,0.002895048,22552.440112800003,80044.07741811,440.3368008
1230,Tin,Tin,Cement,0.762,1922,26.3080337,90.9255269,20,9,1230,Rupakuchi,280_20,commercial,20,9,180,R5B Tin House,650.0,117000.0,8.0,0.3423,45.3792,0.762,0.06076496,0.5262595491,0.002895168,7109.50032,61572.36724469999,338.73465600000003
1242,Tin,Tin,Wood/Bamboo,0.152,949,26.3249973,90.9187644,5,6,1242,Rupakuchi,280_20,commercial,5,6,30,R5A Tin House,650.0,19500.0,7.0,0.3424,45.0171,0.152,0.0,0.5258483963999999,0.002880684,0.0,10254.043729799998,56.173338
1214,Tin,Tin,Mud,0.914,1158,26.321511,90.9261698,10,8,1214,Rupakuchi,280_20,commercial,10,8,80,R5A Tin House,650.0,52000.0,7.0,0.3422,45.0846,0.914,0.09401636199999999,0.5255252942,0.002883384,4888.850823999999,27327.3152984,149.935968
1213,Tin,Tin,Mud,0.914,1679,26.3204838,90.9243383,10,10,1213,Rupakuchi,280_20,commercial,10,10,100,R5A Tin House,650.0,65000.0,7.0,0.3423,45.0919,0.914,0.09401636199999999,0.5256868453,0.0028836760000000004,6111.063529999999,34169.644944499996,187.43894000000003
1206,Tin,Tin,Mud,0.61,1499,26.319565,90.9314431,15,10,1206,Rupakuchi,280_20,commercial,15,10,150,R5A Tin House,650.0,97500.0,7.0,0.342,45.0976,0.61,0.0358199,0.5252021920000001,0.002883904,3492.44025,51207.21372000001,281.18064
1217,Tin,Tin,Wood/Bamboo,0.914,1745467065725,26.31973927783049,90.92506606131792,10,10,1217,Rupakuchi,280_20,commercial,10,10,100,R5A Tin House,650.0,65000.0,7.0,0.3422,45.1059,0.914,0.09401636199999999,0.5255252942,0.002884236,6111.063529999999,34159.144123000005,187.47534000000002
1205,Tin,Tin,Mud,0.914,1440,26.3189269,90.9290992,10,15,1205,Rupakuchi,280_20,commercial,10,15,150,R5A Tin House,650.0,97500.0,7.0,0.3421,45.1083,0.914,0.09401636199999999,0.5253637431,0.0028843320000000003,9166.595295,51222.96495225,281.22237
1212,Tin,Tin,Wood/Bamboo,1.219,442,26.3187417,90.9297671,12,8,1212,Rupakuchi,280_20,commercial,12,8,96,R5A Tin House,650.0,62400.0,7.0,0.342,45.1123,1.219,0.19441356300000004,0.5252021920000001,0.0028844920000000002,12131.406331200002,32772.6167808,179.9923008
1208,Tin,Tin,Mud,0.305,451,26.3187779,90.9323483,30,10,1208,Rupakuchi,280_20,commercial,30,10,300,R5A Tin House,650.0,195000.0,7.0,0.3419,45.1131,0.305,0.00482006,0.5250406409,0.0028845240000000003,939.9117,102382.9249755,562.4821800000001
1215,Tin,Tin,Mud,0.305,510,26.3194776,90.9266433,13,8,1215,Rupakuchi,280_20,commercial,13,8,104,R5A Tin House,650.0,67600.0,7.0,0.3422,45.119,0.305,0.00482006,0.5255252942,0.00288476,325.836056,35525.50988792,195.00977600000002
1216,Tin,Tin,Wood/Bamboo,0.305,1745479061740,26.319354011444407,90.9273211285472,10,10,1216,Rupakuchi,280_20,commercial,10,10,100,R5A Tin House,650.0,65000.0,7.0,0.3421,45.1227,0.305,0.00482006,0.5253637431,0.0028849080000000003,313.3039,34148.6433015,187.51902
1227,Tin,Tin,Mud,0.61,2467,26.3160143,90.9196235,18,7,1227,Rupakuchi,280_20,commercial,18,7,126,R5A Tin House,650.0,81900.0,7.0,0.3424,45.1336,0.61,0.0358199,0.5258483963999999,0.002885344,2933.6498100000003,43066.98366515999,236.30967360000002
1241,Tin,Tin,Mud,0.61,1745993947714,26.31165292274088,90.93334939330816,15,10,1241,Rupakuchi,280_20,commercial,15,10,150,R5A Tin House,650.0,97500.0,7.0,0.342,45.2064,0.61,0.0358199,0.5252021920000001,0.002888256,3492.44025,51207.21372000001,281.60496
1235,Tin,Tin,Mud,0.457,1781,26.3110315,90.9294421,10,8,1235,Rupakuchi,280_20,commercial,10,8,80,R5A Tin House,650.0,52000.0,7.0,0.3421,45.2603,0.457,0.018140958999999998,0.5253637431,0.002890412,943.3298679999999,27318.9146412,150.301424
1239,Tin,Tin,Mud,0.914,91,26.3102609,90.9224861,10,15,1239,Rupakuchi,280_20,commercial,10,15,150,R5A Tin House,650.0,97500.0,7.0,0.3424,45.3382,0.914,0.09401636199999999,0.5258483963999999,0.0028935280000000002,9166.595295,51270.218648999995,282.11898
1233,Tin,Tin,Mud,0.305,1901,26.3083733,90.9252306,15,7,1233,Rupakuchi,280_20,commercial,15,7,105,R5A Tin House,650.0,68250.0,7.0,0.3423,45.3735,0.305,0.00482006,0.5256868453,0.00289494,328.969095,35878.127191725,197.579655
1228,Tin,Tin,Mud,1.219,1921,26.3081125,90.9255364,11,10,1228,Rupakuchi,280_20,commercial,11,10,110,R5A Tin House,650.0,71500.0,7.0,0.3423,45.3768,1.219,0.19441356300000004,0.5256868453,0.0028950720000000003,13900.569754500002,37586.60943895,206.99764800000003
1245,Tin,Tin,Mud,0.61,2124,26.3050023,90.9175084,20,15,1245,Rupakuchi,280_20,commercial,20,15,300,R5A Tin House,650.0,195000.0,7.0,0.3426,45.6442,0.61,0.0358199,0.5261714986,0.002905768,6984.8805,102603.442227,566.62476
1211,Brick With Cement,Tin,Cement,0.305,1515,26.3187626,90.931902,14,8,1211,Rupakuchi,280_20,commercial,14,8,112,R6A Semi Pucca (Cement Floor),1041.0,116592.0,11.0,0.342,45.1165,0.305,0.001779735,0.49188927800000004,0.00010817475,207.50286312,57350.354700576005,12.612310452
1231,Brick With Cement,Tin,Cement,1.219,1916,26.3081895,90.9254971,15,10,1231,Rupakuchi,280_20,commercial,15,10,150,R6A Semi Pucca (Cement Floor),1041.0,156150.0,11.0,0.3423,45.3751,1.219,0.13807219500000004,0.49234645069999994,0.00010856265,21559.973249250004,76879.89827680499,16.9520577975
1221,Grass/Leaves/Plastic & Cow Dung/Mud,Tin,Mud,0.61,1745646842674,26.32316965486461,90.92320192605256,15,9,1221,Rupakuchi,280_20,commercial,15,9,135,R1 (Mud House),650.0,87750.0,1.0,0.3423,45.0556,0.61,0.19186681,0.7288077467999999,0.002161668,16836.3125775,63952.879781699994,189.686367
1220,Bamboo & Cow Dung/Mud,Tin,Mud,0.914,1118,26.3229681,90.9236845,12,12,1220,Rupakuchi,280_20,commercial,12,12,144,R1 (Mud House),650.0,93600.0,1.0,0.3423,45.0591,0.914,0.288733062,0.7288077467999999,0.002161773,27025.4146032,68216.40510048,202.3419528
1244,Brick With Cement,Grass,Cement,2.134,1746094051252,26.317922624403256,90.92498928308488,40,35,1244,Rupakuchi,280_20,commercial,40,35,1400,R3A (Chang House),800.0,1120000.0,4.0,0.3422,45.1274,2.134,0.10609582799999998,0.5883582072,0.001442548,118827.32735999997,658961.192064,1615.6537600000001
