id,wall_type,roof_type,floor_type,building_area_sqft,flood_class,flood_depth_m,point_id,latitude,longitude,reference_id,village_name,village_code,asset_type,building_length_ft,building_width_ft,mapped_house_type,unit_rate_inr,replacement_cost_inr,house_type_id,eq_hazard,wind_hazard,flood_hazard,flood_hazard_mdr,eq_hazard_mdr,wind_hazard_mdr,flood_loss,eq_loss,wind_loss
41075,Brick With Cement,Tin,Cement,600.0,0.5 - 1.0 m,0.61,3628,26.2954611,90.9987443,41075,Bhatkuchi,280_13,household,,,R6A Semi Pucca (Cement Floor),1041.0,624600.0,11.0,0.3409,45.0031,0.61,0.02374034,0.4902129780999999,0.00010800465,14828.216364,306187.02612125996,67.45970439
41358,Brick With Cement,Tin,Cement,600.0,0.5 - 1.0 m,0.762,3627,26.2958565,90.9990877,41358,Bhatkuchi,280_13,household,,,R6A Semi Pucca (Cement Floor),1041.0,624600.0,11.0,0.3409,45.0051,0.762,0.045876862000000004,0.4902129780999999,0.00010800764999999999,28654.6880052,306187.02612125996,67.46157819
40833,Brick With Cement,Tin,Cement,600.0,0.3 - 0.5 m,0.305,1746167592257,26.29660750088992,90.9996998682618,40833,Bhatkuchi,280_13,household,,,R6A Semi Pucca (Cement Floor),1041.0,624600.0,11.0,0.3409,45.011,0.305,0.001779735,0.4902129780999999,0.0001080165,1111.6224809999999,306187.02612125996,67.46710589999999
41017,Brick With Cement,Tin,Cement,600.0,0.5 - 1.0 m,0.61,3605,26.294771,90.9997464,41017,Bhatkuchi,280_13,household,,,R6A Semi Pucca (Cement Floor),1041.0,624600.0,11.0,0.341,45.0114,0.61,0.02374034,0.490365369,0.0001080171,14828.216364,306282.2094774,67.46748066
41357,Brick With Cement,Tin,Cement,600.0,0.3 - 0.5 m,0.457,3601,26.2950654,90.9998317,41357,Bhatkuchi,280_13,household,,,R6A Semi Pucca (Cement Floor),1041.0,624600.0,11.0,0.341,45.0115,0.457,0.006698283,0.490365369,0.00010801725,4183.7475618,306282.2094774,67.46757434999999
41023,Brick With Cement,Tin,Cement,600.0,0.5 - 1.0 m,0.61,3606,26.2947591,90.9997869,41023,Bhatkuchi,280_13,household,,,R6A Semi Pucca (Cement Floor),1041.0,624600.0,11.0,0.341,45.0118,0.61,0.02374034,0.490365369,0.0001080177,14828.216364,306282.2094774,67.46785542
40834,Brick With Cement,Tin,Cement,600.0,0.3 m,0.152,3710,26.2967111,90.9999063,40834,Bhatkuchi,280_13,household,,,R6A Semi Pucca (Cement Floor),1041.0,624600.0,11.0,0.3409,45.0131,0.152,0.0,0.4902129780999999,0.00010801965,0.0,306187.02612125996,67.46907339
40861,Brick With Cement,Tin,Cement,600.0,0.5 - 1.0 m,0.914,3372,26.2971568,90.9997153,40861,Bhatkuchi,280_13,household,,,R6A Semi Pucca (Cement Floor),1041.0,624600.0,11.0,0.3409,45.0131,0.914,0.073965874,0.4902129780999999,0.00010801965,46199.0849004,306187.02612125996,67.46907339
40825,Brick With Cement,Tin,Cement,600.0,0.3 m,0.152,1746165662216,26.29634148791012,91.0002839192748,40825,Bhatkuchi,280_13,household,,,R6A Semi Pucca (Cement Floor),1041.0,624600.0,11.0,0.3409,45.0152,0.152,0.0,0.4902129780999999,0.00010802279999999999,0.0,306187.02612125996,67.47104087999999
40864,Brick With Cement,Tin,Cement,600.0,0.3 m,0.152,3713,26.2966582,91.0003005,40864,Bhatkuchi,280_13,household,,,R6A Semi Pucca (Cement Floor),1041.0,624600.0,11.0,0.3409,45.0163,0.152,0.0,0.4902129780999999,0.00010802445,0.0,306187.02612125996,67.47207147
40836,Brick With Cement,Tin,Stone,600.0,0.3 - 0.5 m,0.305,3716,26.2964414,91.00043,40836,Bhatkuchi,280_13,household,,,R6A Semi Pucca (Cement Floor),1041.0,624600.0,11.0,0.3409,45.0169,0.305,0.001779735,0.4902129780999999,0.00010802535,1111.6224809999999,306187.02612125996,67.47263361
40815,Brick With Cement,Tin,Cement,600.0,0.5 - 1.0 m,0.914,3585,26.2958522,91.000939,40815,Bhatkuchi,280_13,household,,,R6A Semi Pucca (Cement Floor),1041.0,624600.0,11.0,0.3409,45.0219,0.914,0.073965874,0.4902129780999999,0.00010803285,46199.0849004,306187.02612125996,67.47731811
40831,Brick With Cement,Tin,Cement,600.0,0.5 - 1.0 m,0.762,3585,26.2958522,91.000939,40831,Bhatkuchi,280_13,household,,,R6A Semi Pucca (Cement Floor),1041.0,624600.0,11.0,0.3409,45.0219,0.762,0.045876862000000004,0.4902129780999999,0.00010803285,28654.6880052,306187.02612125996,67.47731811
40866,Brick With Cement,Tin,Cement,600.0,0.5 - 1.0 m,0.914,3706,26.2974848,91.0006342,40866,Bhatkuchi,280_13,household,,,R6A Semi Pucca (Cement Floor),1041.0,624600.0,11.0,0.3408,45.0226,0.914,0.073965874,0.49006058719999995,0.0001080339,46199.0849004,306091.84276512,67.47797394
40675,Brick With Cement,Tin,Cement,600.0,0.5 - 1.0 m,0.914,3570,26.295214,91.0011044,40675,Bhatkuchi,280_13,household,,,R6A Semi Pucca (Cement Floor),1041.0,624600.0,11.0,0.341,45.0247,0.914,0.073965874,0.490365369,0.00010803705,46199.0849004,306282.2094774,67.47994143
40880,Brick With Cement,Tin,Cement,600.0,0.5 - 1.0 m,0.61,3535,26.2966078,91.0012889,40880,Bhatkuchi,280_13,household,,,R6A Semi Pucca (Cement Floor),1041.0,624600.0,11.0,0.3409,45.0264,0.61,0.02374034,0.4902129780999999,0.0001080396,14828.216364,306187.02612125996,67.48153416
39632,Brick With Cement,Tin,Cement,600.0,0.5 - 1.0 m,0.914,4466,26.2996209,91.0010997,39632,Bhatkuchi,280_13,household,,,R6A Semi Pucca (Cement Floor),1041.0,624600.0,11.0,0.3408,45.027,0.914,0.073965874,0.49006058719999995,0.0001080405,46199.0849004,306091.84276512,67.4820963
40838,Brick With Cement,Tin,Cement,600.0,0.3 - 0.5 m,0.457,3556,26.2957583,91.001375,40838,Bhatkuchi,280_13,household,,,R6A Semi Pucca (Cement Floor),1041.0,624600.0,11.0,0.3409,45.0271,0.457,0.006698283,0.4902129780999999,0.00010804065,4183.7475618,306187.02612125996,67.48218999
40871,Brick With Cement,Tin,Stone,600.0,0.5 - 1.0 m,0.914,3529,26.2966525,91.001419,40871,Bhatkuchi,280_13,household,,,R6A Semi Pucca (Cement Floor),1041.0,624600.0,11.0,0.3409,45.0279,0.914,0.073965874,0.4902129780999999,0.00010804185,46199.0849004,306187.02612125996,67.48293951
